id,text,rating
61,"Canon New F-1, Canon FL 35mm f2.5, Kentmere 100. Gosh, I love Kentmere 100. Really nice stuff, and so cheap!

Testing this very old Canon FL lens. Got a sticky aperture cleaned; seems to work great now! Bit soft wide open, but I like the contrast and bokeh. 

#BelieveInFilm #35mmLoveLetter",
62,"i help train self-driving cars. in order to make the experience more realistic, they’re generally trained to hit pedestrians every now and then",
63,"🌱Hippeastrum (Amaryllis) 'Star of Holland' & 'Red Lion' doing their best to brighten a gray day - we had a good run with a few days of sunshine, soon to have a few more.🌞 The Red Lions ❤️🦁 were retail waxed bulb rescues, I carefully cut off the wax & the plastic sleeve underneath it. 🙂",
64,"We aren't ""sliding,"" ""slipping,"" or ""heading"" into a recession. We are being pushed into one...

and the people doing the pushing have names
and addresses.",
65,"Chilly Morning Memories

Photos made on January 8, 2022 using a Nikon F80 with a Nikkor AF 50mm f/1.8 D on Fuji Velvia 50 (Exp. 2019/07)

#BelieveInFilm",
66,"don't mind me, just going full toronto again to post this rad analysis UofT did of traffic violations vs. enforcement on king street 

schoolofcities.github.io/king-street-...",
67,"Randos in esteemed economist and former Federal Reserve official Claudia Sahm's replies ""helpfully"" explaining to her that the official unemployment rate is fake because people don't pick up landline phones anymore: folks, this site has The Juice",
68,some songs can very much move me if i am in correct mood and then other times same song will not move me at all. but that being said i do not think i have ever listened to I KNOW THE END by phoebe bridgers and not cried tears of joy. pretty dang amazing,
69,"advice for if you are lonely: get a garden gnome of some kind. They're good company. Quiet,sure, but supportive little friends",
70,"If you're shopping for reluctant readers, both of my books about kids from Hell were selected as Junior Library Guild Selections specifically for kids that have a hard time finding books that interest them! I'm also happy to send bookmarks & signed book plates if you buy them as gifts & email me! 🎁",
71,"Tomorrow (11/14 @ 9:30pm JST / 12:30 UTC) is the second EXCITING online talk on sample return missions! 🛰️ This one will look at our FAVOURITE space rocks, with scientists from the JAXA Hayabusa2 mission & NASA OSIRIS-REx mission. Register for the (free) zoom here: 
us06web.zoom.us/webinar/regi...",
72,"Mike Tirico: and it’s second and 5 for Cincinnati at their own 30,

Cris Collinsworth: players should be allowed to stab the quarterback in the fucking face",
73,"Endorse every word of @user on the pathological coverage of Harvard at the NYT
defector.com/hiding-and-s...",
74,Monday project. Reverse seared T-Bone recipe. Start with 1.5 to 2” cut. Dry brine in fridge with favorite rub 2-4 days. Pull and 1hr later place in 250 deg oven. Pull when inside temp is 100f. Sear on hot grill or pan to int. temp of 125-130f. Rest for 20 mins. Cut and serve with sides. Enjoy!,
75,"Re: voting for Biden

I was unhappy with Biden's selection in the primary ahead of 2020. My main concern was that he represented a deep desire among Dems to paper over the country's problems and get back to normal rather than face them head on, meaning we'd be back in the shit in either 4 or 8 yrs.",
76,"The good news: after feeling like dogshit for two solid months, things are improving! 

The bad news: still no idea what’s wrong with me but my posture (like that of a gargoyle) may be playing into the problem so I have to fix that?? Terrible. I’ve never sat normal in my entire life.",
77,"ESPN needs to come up with a different cliche for ""joining the Yankees"" other than ""wearing the pinstripes for the first time"" because every time someone at the network says that about Juan Soto, they show him in one of those Padres uniforms with pinstripes.",
78,"Here's a Nene, or Hawaiian goose, from my trip to Kaua'i one year ago. These excellent geese are only found on the Hawaiian islands and are one of the few endemics birds out there doing decently well, having rebounded in population after nearly going extinct in the 1950s 🪶",
79,"Getting pretty sick of that ""senior scholar independently discovers your whole discipline"" thing. What's the academia equivalent of ""ok boomer""?",
80,"Watched The Doorway to Hell (1930) this afternoon… an early Warner Bros gangster film, and James Cagney’s 2nd film appearance. Not especially notable, except for how great Mr Cagney is. He’s every inch the gangster tough guy here, it’s obvious why they quickly started giving him lead roles.",
81,"Just put Episode 154 of Deep Left Field to bed and you're gonna love it!

New #Bluejays Justin Turner on what drew him to Toronto, championship experience & that incredible approach!

Daulton Varsho on what he has to do to win over #Jays fans!

#Phillies skipper Rob Thomson!

Look for it Thurs. aft.",
82,"THE MISCHIEVOUS LETTERS OF THE MARQUISE DE Q cover! Sunshiny rich girl who's actually full of rage + androgynous playboy novelist with secret broken heart + a man who needs a hug SO bad, set in magic 1820s Paris, told in letters, these bisexuals fall in love and do VENGEANCE books2read.com/u/3k6gX8",
83,None of the so-called commitments by the seven AI companies addresses illegal scraping and theft of copyrighted content. Why? Because their business models would collapse if they had to pay people for the terabytes of content they are stealing.,
84,"👀 Biden: ""One candidate for US President is very old and mentally unfit. Another candidate is me.""

✔️ Describe President Biden in a few words in the comments!",
85,"Preorders for #SavingOurselves is now LIVE! Blurbs from Bill McKibben, Charlie Gardner, and Naomi Oreskes are also up and available here:  a.co/d/e13IAWq",
86,"Every day, I’m asked “what can I do to make a difference?” 

Most feel frustrated & powerless against the climate crisis, and alarming narratives amplify this.

Alongside the grim realities, we need to know what we as individuals and as a society can do—and are doing—to make a difference.

Read:",
